,link,name
0,https://photomarble.s3.ap-northeast-2.amazonaws.com/similarity/persons/덕수궁_CcagMLRvZOK.jpg,1
1,https://photomarble.s3.ap-northeast-2.amazonaws.com/similarity/persons/덕수궁_CcajL48pmbX.jpg,1
2,https://photomarble.s3.ap-northeast-2.amazonaws.com/similarity/persons/덕수궁_CcaLxZal8DJ.jpg,1
3,https://photomarble.s3.ap-northeast-2.amazonaws.com/similarity/persons/덕수궁_CcaMD8AL8eM.jpg,1
4,https://photomarble.s3.ap-northeast-2.amazonaws.com/similarity/persons/덕수궁_CcaMVRiPqKb.jpg,1
5,https://photomarble.s3.ap-northeast-2.amazonaws.com/similarity/persons/덕수궁_CcaOcBCPiEz.jpg,1
6,https://photomarble.s3.ap-northeast-2.amazonaws.com/similarity/persons/덕수궁_CcaoZHZvrsi.jpg,1
7,https://photomarble.s3.ap-northeast-2.amazonaws.com/similarity/persons/덕수궁_CcaWkN3PLN2.jpg,1
8,https://photomarble.s3.ap-northeast-2.amazonaws.com/similarity/persons/덕수궁_CcawvZ9pFDu.jpg,1
9,https://photomarble.s3.ap-northeast-2.amazonaws.com/similarity/persons/덕수궁_CcaZzByrcFH.jpg,1
10,https://photomarble.s3.ap-northeast-2.amazonaws.com/similarity/persons/덕수궁_CcbvopkPdtU.jpg,1
11,https://photomarble.s3.ap-northeast-2.amazonaws.com/similarity/persons/덕수궁_Ccc56jTvvyq.jpg,1
12,https://photomarble.s3.ap-northeast-2.amazonaws.com/similarity/persons/덕수궁_Ccc71brLXPO.jpg,1
13,https://photomarble.s3.ap-northeast-2.amazonaws.com/similarity/persons/덕수궁_Ccc8Zh2vspZ.jpg,1
14,https://photomarble.s3.ap-northeast-2.amazonaws.com/similarity/persons/덕수궁_CccaEigvgAx.jpg,1
15,https://photomarble.s3.ap-northeast-2.amazonaws.com/similarity/persons/덕수궁_CcceUtjhlfe.jpg,1
16,https://photomarble.s3.ap-northeast-2.amazonaws.com/similarity/persons/덕수궁_CccfM1eh23P.jpg,1
17,https://photomarble.s3.ap-northeast-2.amazonaws.com/similarity/persons/덕수궁_CccJJa0BpJ5.jpg,1
18,https://photomarble.s3.ap-northeast-2.amazonaws.com/similarity/persons/덕수궁_CccKwVxpJBF.jpg,1
19,https://photomarble.s3.ap-northeast-2.amazonaws.com/similarity/persons/덕수궁_CcclDYkBFQJ.jpg,1
20,https://photomarble.s3.ap-northeast-2.amazonaws.com/similarity/persons/덕수궁_Cccpsj7vNX4.jpg,1
21,https://photomarble.s3.ap-northeast-2.amazonaws.com/similarity/persons/덕수궁_CccRM7Dr4YS.jpg,1
22,https://photomarble.s3.ap-northeast-2.amazonaws.com/similarity/persons/덕수궁_Ccdg5JDvtwl.jpg,1
23,https://photomarble.s3.ap-northeast-2.amazonaws.com/similarity/persons/덕수궁_CcdGVxtrO5R.jpg,1
24,https://photomarble.s3.ap-northeast-2.amazonaws.com/similarity/persons/덕수궁_CcdImT4hjlP.jpg,1
25,https://photomarble.s3.ap-northeast-2.amazonaws.com/similarity/persons/덕수궁_CcdJL_2PEs3.jpg,1
26,https://photomarble.s3.ap-northeast-2.amazonaws.com/similarity/persons/덕수궁_CcdOTeDPYA-.jpg,1
27,https://photomarble.s3.ap-northeast-2.amazonaws.com/similarity/persons/덕수궁_CcdWp4zvZbO.jpg,1
28,https://photomarble.s3.ap-northeast-2.amazonaws.com/similarity/persons/덕수궁_CceC19QvIFl.jpg,1
29,https://photomarble.s3.ap-northeast-2.amazonaws.com/similarity/persons/덕수궁_CceYsP1Phd5.jpg,1
30,https://photomarble.s3.ap-northeast-2.amazonaws.com/similarity/persons/덕수궁_CcK6aWFp_aB.jpg,1
31,https://photomarble.s3.ap-northeast-2.amazonaws.com/similarity/persons/덕수궁_CcSkxqqP7dl.jpg,1
32,https://photomarble.s3.ap-northeast-2.amazonaws.com/similarity/persons/덕수궁_CcUdheeJfaf.jpg,1
33,https://photomarble.s3.ap-northeast-2.amazonaws.com/similarity/persons/덕수궁_CcX93q2vaor.jpg,1
34,https://photomarble.s3.ap-northeast-2.amazonaws.com/similarity/persons/덕수궁_CcXhY4SvZPK.jpg,1
35,https://photomarble.s3.ap-northeast-2.amazonaws.com/similarity/persons/덕수궁_CcXUO2rL31W.jpg,1
36,https://photomarble.s3.ap-northeast-2.amazonaws.com/similarity/persons/덕수궁_CcXvL88vy_w.jpg,1
